date,return
2020-11-15,0.00000000
2020-11-16,-0.01200000
2020-11-17,-0.03036437
2020-11-18,-0.00939457
2020-11-19,0.00948367
2020-11-20,-0.00835073
2020-11-21,0.02315789
2020-11-22,-0.00925926
2020-11-23,-0.01557632
2020-11-24,-0.08544304
2020-11-25,-0.02537486
2020-11-26,0.04260355
2020-11-27,-0.00567537
2020-11-28,-0.01598174
2020-11-29,0.01044084
2020-11-30,-0.03673938
2020-12-01,0.02979738
2020-12-02,0.00231481
2020-12-03,-0.00115473
2020-12-04,0.01965318
2020-12-05,-0.00566893
2020-12-06,-0.00798176
2020-12-07,0.01034483
2020-12-08,0.01592719
2020-12-09,-0.01791713
2020-12-10,-0.00342075
2020-12-11,0.01716247
2020-12-12,-0.00112486
2020-12-13,0.00450450
2020-12-14,0.00112108
2020-12-15,-0.00335946
2020-12-16,0.02359551
2020-12-17,0.00109769
2020-12-18,0.01096491
2020-12-19,0.00976139
2020-12-20,0.02685285
2020-12-21,-0.00627615
2020-12-22,0.03263158
2020-12-23,0.03567788
2020-12-24,0.02066929
2020-12-25,0.01832208
2020-12-26,0.06912879
2020-12-27,-0.00974314
2020-12-28,-0.01252236
2020-12-29,0.00452899
2020-12-30,-0.02975654
2020-12-31,0.01765799
2021-01-01,0.00456621
2021-01-02,-0.01272727
2021-01-03,0.00828729
2021-01-04,-0.02648402
2021-01-05,-0.00375235
2021-01-06,-0.01318267
2021-01-07,-0.02194656
2021-01-08,0.00975610
2021-01-09,0.09082126
2021-01-10,0.01771479
2021-01-11,0.02610966
2021-01-12,0.06700594
2021-01-13,-0.00397456
2021-01-14,-0.01596169
2021-01-15,0.04541768
2021-01-16,0.05042669
2021-01-17,0.02067947
2021-01-18,-0.02243126
2021-01-19,-0.01628423
2021-01-20,0.02708804
2021-01-21,0.04981685
2021-01-22,-0.02651779
2021-01-23,0.00860215
2021-01-24,0.06396588
2021-01-25,-0.02338009
2021-01-26,0.02941176
2021-01-27,0.03588040
2021-01-28,-0.25400898
2021-01-29,0.00257954
2021-01-30,0.06174957
2021-01-31,-0.02180937
2021-02-01,-0.00495458
2021-02-02,0.02406639
2021-02-03,0.02998379
2021-02-04,0.05586153
2021-02-05,0.00000000
2021-02-06,0.00521610
2021-02-07,0.01260193
2021-02-08,0.02196193
2021-02-09,0.00859599
2021-02-10,0.05255682
2021-02-11,-0.06275304
2021-02-12,-0.02375810
2021-02-13,-0.10029499
2021-02-14,-0.00327869
2021-02-15,-0.01480263
2021-02-16,0.01335559
2021-02-17,-0.01976936
2021-02-18,-0.00336134
2021-02-19,-0.01096121
2021-02-20,-0.08439898
2021-02-21,-0.00186220
2021-02-22,0.03171642
2021-02-23,-0.02260398
2021-02-24,0.02035153
2021-02-25,-0.02810517
2021-02-26,-0.02145522
2021-02-27,-0.01143947
2021-02-28,-0.00192864
2021-03-01,0.00966184
2021-03-02,0.02009569
2021-03-03,0.00093809
2021-03-04,0.01593252
2021-03-05,0.01476015
2021-03-06,0.00636364
2021-03-07,0.00361337
2021-03-08,0.02790279
2021-03-09,-0.02101576
2021-03-10,0.02772809
2021-03-11,0.02001741
2021-03-12,0.01450512
2021-03-13,0.00925147
2021-03-14,0.00333333
2021-03-15,-0.04318937
2021-03-16,-0.00781250
2021-03-17,0.05161855
2021-03-18,-0.00582363
2021-03-19,0.00167364
2021-03-20,0.01002506
2021-03-21,0.01323408
2021-03-22,0.02122449
2021-03-23,0.04316547
2021-03-24,-0.00842912
2021-03-25,0.01622875
2021-03-26,-0.00152091
2021-03-27,-0.01447068
2021-03-28,0.00850077
2021-03-29,0.00306513
2021-03-30,-0.00534759
2021-03-31,0.06298003
2021-04-01,0.00289017
2021-04-02,0.02737752
2021-04-03,-0.02173913
2021-04-04,0.05017921
2021-04-05,0.09283276
2021-04-06,0.00000000
2021-04-07,-0.04247345
2021-04-08,0.03196347
2021-04-09,0.01896334
2021-04-10,0.01923077
2021-04-11,-0.00121729
2021-04-12,-0.02437538
2021-04-13,0.01249219
2021-04-14,-0.04318322
2021-04-15,0.01482914
2021-04-16,0.08068615
2021-04-17,0.00352734
2021-04-18,0.04628002
2021-04-19,-0.04031355
2021-04-20,0.02275379
2021-04-21,-0.01768397
2021-04-22,-0.04878049
2021-04-23,0.00183150
2021-04-24,-0.01157831
2021-04-25,-0.00184957
2021-04-26,0.01297097
2021-04-27,0.01341463
2021-04-28,0.00782190
2021-04-29,-0.01253731
2021-04-30,-0.02237001
2021-05-01,0.04081633
2021-05-02,0.00653595
2021-05-03,0.02774498
2021-05-04,0.00402068
2021-05-05,0.05491991
2021-05-06,0.02386117
2021-05-07,-0.00953390
2021-05-08,0.01871658
2021-05-09,0.00314961
2021-05-10,0.02878074
2021-05-11,0.01831129
2021-05-12,-0.01098901
2021-05-13,0.04141414
2021-05-14,0.02618817
2021-05-15,-0.01748582
2021-05-16,-0.00721501
2021-05-17,-0.01211240
2021-05-18,0.00588524
2021-05-19,-0.00877621
2021-05-20,-0.02361043
2021-05-21,0.01259446
2021-05-22,-0.00547264
2021-05-23,0.00350175
2021-05-24,-0.02243270
2021-05-25,-0.01376849
2021-05-26,-0.00051706
2021-05-27,-0.02121055
2021-05-28,0.01744186
2021-05-29,-0.00519481
2021-05-30,-0.00208877
2021-05-31,0.00313972
2021-06-01,-0.01617110
2021-06-02,-0.01325557
2021-06-03,-0.03009135
2021-06-04,-0.02271468
2021-06-05,-0.01133787
2021-06-06,0.00630734
2021-06-07,-0.00170940
2021-06-08,0.00799087
2021-06-09,0.04360136
2021-06-10,0.00108519
2021-06-11,-0.02384824
2021-06-12,0.00777346
2021-06-13,0.02093664
2021-06-14,0.01295197
2021-06-15,-0.00053277
2021-06-16,-0.00746269
2021-06-17,0.00429646
2021-06-18,-0.00534759
2021-06-19,0.00161290
2021-06-20,-0.00590446
2021-06-21,0.01511879
2021-06-22,0.01063830
2021-06-23,-0.01526316
2021-06-24,0.02137894
2021-06-25,0.00470958
2021-06-26,0.00677083
2021-06-27,-0.02017589
2021-06-28,-0.01531151
2021-06-29,-0.00053619
2021-06-30,-0.00160944
2021-07-01,0.01235895
2021-07-02,-0.01380042
2021-07-03,-0.00914962
2021-07-04,-0.02552960
2021-07-05,-0.00947603
2021-07-06,-0.03151379
2021-07-07,-0.02556653
2021-07-08,0.00715564
2021-07-09,0.00947306
2021-07-10,0.01818182
2021-07-11,-0.00576037
2021-07-12,-0.00753187
2021-07-13,-0.01342674
2021-07-14,0.01420118
2021-07-15,-0.01225204
2021-07-16,0.00886001
2021-07-17,-0.01756440
2021-07-18,0.00059595
2021-07-19,-0.00655152
2021-07-20,0.00059952
2021-07-21,-0.00958658
2021-07-22,0.02540835
2021-07-23,0.00000000
2021-07-24,-0.01887906
2021-07-25,0.00300661
2021-07-26,0.01618705
2021-07-27,-0.00294985
2021-07-28,0.01420118
2021-07-29,0.00933489
2021-07-30,0.02716763
2021-07-31,-0.01238042
2021-08-01,-0.02165242
2021-08-02,-0.00640652
2021-08-03,-0.00468933
2021-08-04,0.00942285
2021-08-05,-0.00991832
2021-08-06,0.01414260
2021-08-07,0.01278327
2021-08-08,0.00458979
2021-08-09,0.02969732
2021-08-10,-0.01053799
2021-08-11,-0.00616592
2021-08-12,-0.00282008
2021-08-13,0.02997738
2021-08-14,-0.01867106
2021-08-15,-0.02518187
2021-08-16,0.00401837
2021-08-17,0.03602058
2021-08-18,0.04746137
2021-08-19,0.00052687
2021-08-20,0.03159558
2021-08-21,0.00000000
2021-08-22,0.00510465
2021-08-23,0.01269680
2021-08-24,0.02357071
2021-08-25,0.00881921
