date,return
2020-01-01,0.00000000
2020-01-02,0.01400000
2020-01-03,-0.00591716
2020-01-04,-0.00595238
2020-01-05,-0.01097804
2020-01-06,0.00201816
2020-01-07,0.00201410
2020-01-08,0.00603015
2020-01-09,0.00499500
2020-01-10,0.03280318
2020-01-11,-0.00481232
2020-01-12,0.00870406
2020-01-13,0.00671141
2020-01-14,0.08380952
2020-01-15,0.04217926
2020-01-16,-0.02276560
2020-01-17,-0.01380500
2020-01-18,-0.01837270
2020-01-19,-0.01247772
2020-01-20,-0.00451264
2020-01-21,0.00000000
2020-01-22,-0.01631913
2020-01-23,-0.01474654
2020-01-24,0.00561272
2020-01-25,-0.01581395
2020-01-26,0.01134216
2020-01-27,0.02803738
2020-01-28,0.02000000
2020-01-29,0.00802139
2020-01-30,0.03978780
2020-01-31,-0.03316327
2020-02-01,0.00615655
2020-02-02,-0.00699301
2020-02-03,0.00440141
2020-02-04,-0.01840491
2020-02-05,-0.00625000
2020-02-06,0.00089847
2020-02-07,-0.00538600
2020-02-08,0.00541516
2020-02-09,0.03052065
2020-02-10,-0.01655052
2020-02-11,-0.01417183
2020-02-12,0.00808625
2020-02-13,-0.01158645
2020-02-14,0.04418395
2020-02-15,0.01208981
2020-02-16,0.02133106
2020-02-17,-0.02422723
2020-02-18,0.02482877
2020-02-19,0.00918964
2020-02-20,0.02235099
2020-02-21,-0.02834008
2020-02-22,0.00000000
2020-02-23,-0.01416667
2020-02-24,-0.00169062
2020-02-25,-0.04233700
2020-02-26,0.02210433
2020-02-27,-0.00173010
2020-02-28,-0.00086655
2020-02-29,-0.00433651
2020-03-01,0.01306620
2020-03-02,-0.00945830
2020-03-03,-0.00347222
2020-03-04,-0.00609756
2020-03-05,-0.02366345
2020-03-06,-0.02154399
2020-03-07,0.00183486
2020-03-08,0.03754579
2020-03-09,-0.01059135
2020-03-10,-0.02586976
2020-03-11,0.00000000
2020-03-12,0.04212454
2020-03-13,-0.00790861
2020-03-14,0.01062888
2020-03-15,0.00350570
2020-03-16,0.00000000
2020-03-17,0.01659389
2020-03-18,-0.02663230
2020-03-19,0.03530450
2020-03-20,-0.00255754
2020-03-21,0.00341880
2020-03-22,0.01107325
2020-03-23,0.00252738
2020-03-24,0.01680672
2020-03-25,0.00661157
2020-03-26,0.00903120
2020-03-27,-0.00162734
2020-03-28,0.01548492
2020-03-29,0.00802568
2020-03-30,0.00000000
2020-03-31,0.00636943
2020-04-01,0.00158228
2020-04-02,-0.00710900
2020-04-03,0.00000000
2020-04-04,0.01113763
2020-04-05,0.00314713
2020-04-06,-0.00078431
2020-04-07,0.00627943
2020-04-08,-0.00546022
2020-04-09,0.00941176
2020-04-10,-0.00543901
2020-04-11,-0.00781250
2020-04-12,0.00157480
2020-04-13,-0.01100629
2020-04-14,-0.00556439
2020-04-15,0.00239808
2020-04-16,0.00956938
2020-04-17,0.00394945
2020-04-18,0.00944138
2020-04-19,0.01948558
2020-04-20,-0.00840979
2020-04-21,0.00771010
2020-04-22,0.01530222
2020-04-23,0.02938960
2020-04-24,-0.02928258
2020-04-25,0.00075415
2020-04-26,0.01507159
2020-04-27,-0.00222717
2020-04-28,-0.00595238
2020-04-29,0.01946108
2020-04-30,-0.02055800
2020-05-01,0.01874063
2020-05-02,0.01545254
2020-05-03,0.00144928
2020-05-04,0.00506512
2020-05-05,-0.00359971
2020-05-06,0.00578035
2020-05-07,0.01580460
2020-05-08,-0.01414427
2020-05-09,-0.02008608
2020-05-10,0.08491947
2020-05-11,-0.00337382
2020-05-12,0.01828030
2020-05-13,-0.00066489
2020-05-14,-0.00199601
2020-05-15,-0.01200000
2020-05-16,-0.00742240
2020-05-17,-0.00815772
2020-05-18,-0.00342700
2020-05-19,0.00550206
2020-05-20,0.00820793
2020-05-21,0.00203528
2020-05-22,-0.01354096
2020-05-23,-0.02539465
2020-05-24,-0.01478873
2020-05-25,0.02430307
2020-05-26,0.00000000
2020-05-27,-0.01116539
2020-05-28,0.01905434
2020-05-29,-0.00207756
2020-05-30,0.00485774
