date,return
2020-01-01,0.00000000
2020-01-02,-0.00200000
2020-01-03,0.01603206
2020-01-04,0.00690335
2020-01-05,0.00783546
2020-01-06,0.01068999
2020-01-07,-0.01250000
2020-01-08,0.00389484
2020-01-09,-0.01357905
2020-01-10,-0.01278269
2020-01-11,0.00498008
2020-01-12,0.00693756
2020-01-13,0.00885827
2020-01-14,0.04682927
2020-01-15,0.04100652
2020-01-16,0.00716204
2020-01-17,0.00000000
2020-01-18,0.00088889
2020-01-19,-0.00532860
2020-01-20,0.02232143
2020-01-21,-0.01746725
2020-01-22,-0.00355556
2020-01-23,0.01070473
2020-01-24,-0.01235658
2020-01-25,0.00625559
2020-01-26,-0.00266430
2020-01-27,-0.00178094
2020-01-28,-0.01605709
2020-01-29,0.00906618
2020-01-30,-0.00718778
2020-01-31,0.00542986
2020-02-01,-0.00540054
2020-02-02,0.02624434
2020-02-03,0.00264550
2020-02-04,0.02198769
2020-02-05,0.01118761
2020-02-06,-0.02638298
2020-02-07,-0.03059441
2020-02-08,0.04328224
2020-02-09,-0.00605013
2020-02-10,-0.05043478
2020-02-11,-0.00824176
2020-02-12,0.00738689
2020-02-13,0.03116407
2020-02-14,-0.03022222
2020-02-15,-0.01008249
2020-02-16,-0.01388889
2020-02-17,0.00751174
2020-02-18,0.00093197
2020-02-19,0.00744879
2020-02-20,0.00646950
2020-02-21,-0.00275482
2020-02-22,-0.01104972
2020-02-23,-0.00186220
2020-02-24,0.00093284
2020-02-25,0.00931966
2020-02-26,-0.00461681
2020-02-27,-0.01113173
2020-02-28,-0.01500938
2020-02-29,-0.01142857
2020-03-01,0.01252408
2020-03-02,0.00951475
2020-03-03,-0.00094251
2020-03-04,-0.01415094
2020-03-05,0.00191388
2020-03-06,0.00859599
2020-03-07,0.00473485
2020-03-08,-0.01225259
2020-03-09,0.02671756
2020-03-10,0.00836431
2020-03-11,0.00184332
2020-03-12,0.04415823
2020-03-13,-0.02643172
2020-03-14,0.01900452
2020-03-15,0.01154529
2020-03-16,0.00614574
2020-03-17,-0.02443281
2020-03-18,0.00268336
2020-03-19,-0.01962533
2020-03-20,-0.00545951
2020-03-21,-0.00823422
2020-03-22,0.01383764
2020-03-23,-0.01910828
2020-03-24,-0.02504638
2020-03-25,0.01522360
2020-03-26,0.00468604
2020-03-27,0.02052239
2020-03-28,-0.00639854
2020-03-29,0.00183993
2020-03-30,-0.00918274
2020-03-31,0.01019462
2020-04-01,-0.00458716
2020-04-02,-0.00368664
2020-04-03,-0.00925069
2020-04-04,0.00560224
2020-04-05,0.01392758
2020-04-06,-0.00732601
2020-04-07,-0.01107011
2020-04-08,0.00652985
2020-04-09,0.01204819
2020-04-10,0.00366300
2020-04-11,-0.00364964
2020-04-12,-0.00549451
2020-04-13,-0.00368324
2020-04-14,-0.00646950
2020-04-15,0.00837209
2020-04-16,-0.01660517
2020-04-17,0.00187617
2020-04-18,-0.01966292
2020-04-19,0.02101242
2020-04-20,0.00654818
2020-04-21,0.00650558
2020-04-22,-0.00461681
2020-04-23,0.00556586
2020-04-24,0.00369004
2020-04-25,0.00735294
2020-04-26,0.02189781
2020-04-27,0.00535714
2020-04-28,0.00444050
2020-04-29,-0.02740937
2020-04-30,-0.00545455
2020-05-01,0.00457038
2020-05-02,-0.00272975
2020-05-03,-0.00091241
2020-05-04,0.00091324
2020-05-05,0.00182482
2020-05-06,0.00637523
2020-05-07,-0.01085973
2020-05-08,-0.00274474
2020-05-09,-0.01009174
2020-05-10,0.09823911
2020-05-11,-0.00759494
2020-05-12,0.02976190
2020-05-13,-0.01651528
2020-05-14,-0.00755668
2020-05-15,0.00846024
2020-05-16,-0.00922819
2020-05-17,-0.00592718
2020-05-18,-0.00851789
2020-05-19,0.00085911
2020-05-20,0.03862661
2020-05-21,0.01322314
2020-05-22,0.01386623
2020-05-23,-0.01045857
2020-05-24,-0.00162602
2020-05-25,0.03745928
2020-05-26,0.00784929
2020-05-27,-0.00934579
2020-05-28,0.00314465
2020-05-29,0.00391850
2020-05-30,-0.00624512
2020-05-31,0.01099764
2020-06-01,-0.01243201
2020-06-02,0.01573564
2020-06-03,0.00309837
2020-06-04,-0.00617761
2020-06-05,-0.00777001
2020-06-06,0.01801096
2020-06-07,-0.00692308
2020-06-08,-0.00154919
2020-06-09,0.01474011
2020-06-10,0.03669725
2020-06-11,-0.00884956
2020-06-12,0.01934524
2020-06-13,0.01167883
2020-06-14,-0.01515152
2020-06-15,-0.00293040
2020-06-16,0.02204262
2020-06-17,-0.00215672
2020-06-18,-0.00288184
2020-06-19,0.00000000
2020-06-20,0.01300578
2020-06-21,0.00356633
2020-06-22,-0.00142146
2020-06-23,-0.00854093
2020-06-24,0.00287150
2020-06-25,0.00214746
2020-06-26,0.00214286
2020-06-27,-0.00641483
2020-06-28,-0.00860832
2020-06-29,-0.00144718
2020-06-30,0.00289855
2020-07-01,0.01300578
2020-07-02,0.00641940
2020-07-03,0.02409639
2020-07-04,0.01730104
2020-07-05,0.02448980
2020-07-06,-0.04316069
2020-07-07,0.01873699
2020-07-08,0.02861035
2020-07-09,0.01721854
2020-07-10,-0.00716146
2020-07-11,0.01377049
2020-07-12,-0.03686934
2020-07-13,-0.01746138
2020-07-14,0.00410116
2020-07-15,-0.01701838
2020-07-16,-0.00138504
2020-07-17,0.01803051
2020-07-18,0.01089918
2020-07-19,-0.01347709
2020-07-20,0.01639344
2020-07-21,-0.01276882
2020-07-22,-0.00748809
2020-07-23,-0.02537723
2020-07-24,-0.01759324
2020-07-25,-0.01575931
2020-07-26,-0.01746725
2020-07-27,-0.07407407
2020-07-28,0.02080000
2020-07-29,-0.00862069
2020-07-30,0.00553360
2020-07-31,-0.01965409
2020-08-01,-0.01684042
2020-08-02,0.01794454
2020-08-03,-0.02243590
2020-08-04,0.00983607
2020-08-05,0.01704545
2020-08-06,-0.00239425
2020-08-07,0.01440000
2020-08-08,0.02444795
2020-08-09,0.02001540
2020-08-10,-0.00905660
2020-08-11,-0.00456969
2020-08-12,0.02677888
2020-08-13,0.07302534
2020-08-14,-0.00277778
2020-08-15,-0.02924791
2020-08-16,0.02869440
2020-08-17,0.00767085
2020-08-18,-0.02145329
2020-08-19,-0.01202263
2020-08-20,0.03364352
2020-08-21,0.00692521
2020-08-22,0.01306740
2020-08-23,0.03190767
2020-08-24,-0.02105263
2020-08-25,-0.02016129
2020-08-26,0.00411523
2020-08-27,-0.01707650
2020-08-28,-0.00764420
2020-08-29,0.02100840
2020-08-30,0.00137174
2020-08-31,0.01095890
2020-09-01,0.00813008
2020-09-02,-0.00336022
2020-09-03,-0.03776129
2020-09-04,0.01962158
2020-09-05,-0.00274914
2020-09-06,-0.01309442
2020-09-07,0.00977654
2020-09-08,0.00899032
2020-09-09,0.00548321
2020-09-10,0.00613497
2020-09-11,0.01219512
2020-09-12,-0.00133869
2020-09-13,0.00201072
2020-09-14,0.01137124
2020-09-15,-0.02314815
2020-09-16,0.00270819
2020-09-17,-0.01823093
2020-09-18,0.00206327
2020-09-19,0.00205903
2020-09-20,0.00342466
2020-09-21,-0.02457338
2020-09-22,-0.00069979
2020-09-23,0.01050420
2020-09-24,-0.01316701
2020-09-25,0.01193820
2020-09-26,0.00416378
2020-09-27,-0.01727713
2020-09-28,-0.00492264
2020-09-29,0.02968198
2020-09-30,0.03294441
2020-10-01,0.00132890
2020-10-02,-0.00464499
2020-10-03,-0.00266667
2020-10-04,0.01270053
2020-10-05,0.00660066
2020-10-06,-0.00065574
2020-10-07,0.00590551
2020-10-08,-0.00065232
2020-10-09,-0.00326371
2020-10-10,-0.00261952
2020-10-11,0.02101116
2020-10-12,-0.00257235
2020-10-13,-0.00257898
2020-10-14,0.00646412
2020-10-15,0.01284522
2020-10-16,-0.02155992
2020-10-17,-0.00064809
2020-10-18,-0.01102464
2020-10-19,0.00983607
2020-10-20,-0.01298701
2020-10-21,0.01973684
2020-10-22,-0.00967742
2020-10-23,0.00586319
2020-10-24,0.00323834
2020-10-25,0.01097482
2020-10-26,0.00063857
2020-10-27,0.00191449
2020-10-28,-0.00191083
2020-10-29,0.00957243
2020-10-30,0.01074589
2020-10-31,0.01063164
2020-11-01,-0.01113861
2020-11-02,-0.01627034
2020-11-03,0.00318066
2020-11-04,0.00000000
2020-11-05,0.00380469
2020-11-06,-0.00947568
2020-11-07,-0.01721939
2020-11-08,0.00194679
2020-11-09,-0.00906736
2020-11-10,-0.00522876
2020-11-11,0.01116951
2020-11-12,0.03118908
2020-11-13,-0.00756144
2020-11-14,0.00761905
2020-11-15,-0.01071204
2020-11-16,0.04777070
2020-11-17,0.03039514
2020-11-18,0.00884956
2020-11-19,0.02280702
2020-11-20,0.02973128
2020-11-21,0.07495836
2020-11-22,0.00516529
2020-11-23,0.03083248
2020-11-24,0.07926221
2020-11-25,-0.03233256
2020-11-26,-0.03818616
2020-11-27,0.00049628
2020-11-28,0.02728175
2020-11-29,0.00820859
2020-11-30,0.00909962
2020-12-01,0.01708590
2020-12-02,0.00793280
2020-12-03,0.01157407
2020-12-04,-0.01464531
2020-12-05,0.01997213
2020-12-06,0.00956284
2020-12-07,0.00902120
2020-12-08,-0.02101028
2020-12-09,0.00913242
2020-12-10,0.00135747
2020-12-11,-0.00542250
2020-12-12,0.01999091
2020-12-13,0.00489978
2020-12-14,-0.00088652
2020-12-15,-0.01286602
2020-12-16,0.01483146
2020-12-17,0.01372896
2020-12-18,0.01441678
2020-12-19,0.01808786
2020-12-20,-0.00549915
2020-12-21,-0.00552956
2020-12-22,-0.02737382
2020-12-23,-0.03034301
2020-12-24,-0.00453515
2020-12-25,0.00592255
2020-12-26,0.00724638
2020-12-27,0.01214029
2020-12-28,-0.02354509
2020-12-29,0.00500455
2020-12-30,0.02172929
2020-12-31,0.02215330
2021-01-01,0.03250975
2021-01-02,0.01091520
2021-01-03,-0.00872093
